Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
Male,No,0,Graduate,No,40512,6610,199,300,0,Urban,N
Female,No,3,Graduate,Yes,107623,3619,170,300,1,Rural,Y
Male,Yes,1,Not Graduate,No,105086,26671,255,360,1,Urban,Y
Male,No,0,Graduate,No,105068,8991,59,240,0,Rural,N
Female,Yes,0,Graduate,No,102102,37706,242,180,1,Semiurban,Y
Female,Yes,1,Graduate,No,27165,58165,253,480,0,Rural,N
Male,Yes,0,Not Graduate,No,61771,39501,105,360,1,Urban,Y
Male,Yes,0,Not Graduate,No,32114,24228,274,240,1,Urban,Y
Female,Yes,1,Graduate,No,34572,50480,132,360,0,Semiurban,Y
Female,No,1,Not Graduate,No,59691,608,334,180,1,Semiurban,Y
Female,Yes,3,Graduate,Yes,56151,50725,303,180,1,Rural,Y
Male,Yes,3,Graduate,No,112925,16546,279,180,1,Urban,Y
Female,Yes,0,Graduate,No,57220,44707,306,360,1,Rural,Y
Female,No,0,Not Graduate,No,98489,11029,343,360,1,Urban,Y
Female,Yes,0,Graduate,No,29699,1370,146,360,0,Semiurban,N
Female,No,2,Graduate,No,74288,10979,263,120,0,Urban,N
Male,Yes,0,Not Graduate,No,116432,11164,272,360,1,Urban,Y
Male,Yes,0,Graduate,No,119119,28196,128,360,1,Urban,Y
Male,No,1,Graduate,Yes,99426,5760,189,480,0,Semiurban,N
Male,No,0,Graduate,No,77970,10463,81,360,1,Rural,Y
Male,Yes,1,Graduate,No,36660,13469,207,120,1,Semiurban,Y
Male,Yes,3,Graduate,No,65308,30792,131,300,1,Rural,Y
Male,Yes,3,Graduate,No,92531,22003,309,360,0,Semiurban,N
Female,No,1,Graduate,No,110639,4820,348,360,0,Urban,N
Male,No,0,Graduate,No,76868,2572,256,300,1,Rural,Y
Male,No,0,Graduate,No,69558,10586,306,240,1,Urban,Y
Female,Yes,2,Not Graduate,No,75394,29503,57,300,1,Rural,Y
Male,Yes,0,Graduate,No,107431,6280,312,120,1,Urban,Y
Male,Yes,1,Graduate,No,90248,14554,306,360,1,Rural,Y
Female,No,0,Graduate,No,99575,14648,173,360,1,Urban,Y
Female,Yes,2,Not Graduate,No,23070,1408,243,360,1,Semiurban,Y
Male,Yes,1,Graduate,No,30500,26895,139,360,1,Rural,Y
Male,Yes,3,Graduate,No,84123,45633,124,360,0,Rural,N
Male,No,2,Graduate,No,28432,1065,80,360,1,Urban,Y
Female,No,3,Graduate,No,63731,2227,318,180,1,Semiurban,Y
Female,Yes,3,Graduate,No,61043,3251,323,240,1,Rural,Y
Male,Yes,0,Not Graduate,No,37685,3533,319,360,1,Rural,Y
Male,Yes,0,Graduate,No,32323,1714,76,300,1,Semiurban,Y
Male,Yes,0,Graduate,No,97455,18647,302,240,0,Rural,N
Female,Yes,2,Not Graduate,No,20272,15141,136,300,1,Rural,Y
Male,Yes,2,Graduate,Yes,71442,43949,139,480,1,Urban,Y
Female,Yes,3,Graduate,No,50763,32066,238,240,1,Semiurban,Y
Female,No,1,Graduate,No,19527,7791,343,240,0,Rural,N
Male,Yes,3,Not Graduate,No,57925,23558,237,360,1,Rural,Y
Male,Yes,1,Graduate,No,109999,30459,66,360,1,Urban,Y
Female,No,0,Not Graduate,No,112386,5940,350,360,1,Urban,Y
Male,Yes,2,Graduate,No,46687,1204,109,120,1,Urban,Y
Male,No,3,Graduate,Yes,68987,2725,139,360,1,Semiurban,Y
Male,Yes,1,Graduate,No,64246,54911,166,240,1,Urban,Y
Male,Yes,0,Graduate,No,27869,39456,348,240,1,Semiurban,Y
Male,Yes,0,Graduate,No,15780,36312,87,360,1,Urban,Y
Female,Yes,1,Not Graduate,No,32617,52597,263,480,1,Urban,Y
Female,No,0,Graduate,Yes,97479,460,126,360,0,Rural,N
Female,Yes,0,Graduate,No,67499,1422,136,240,1,Urban,Y
Female,Yes,0,Graduate,No,60130,30855,93,300,1,Urban,Y
Female,No,1,Graduate,No,102976,12982,228,240,0,Urban,N
Female,No,1,Graduate,No,80695,9744,109,300,1,Rural,Y
Male,Yes,0,Not Graduate,Yes,20741,16912,133,360,1,Urban,Y
Female,No,3,Not Graduate,No,21746,14996,154,300,0,Semiurban,N
Female,Yes,3,Graduate,No,90264,21048,208,480,1,Urban,Y
Female,Yes,2,Graduate,Yes,28023,42567,96,480,1,Rural,Y
Female,Yes,0,Graduate,Yes,25569,44046,114,300,1,Rural,Y
Male,Yes,0,Graduate,No,88956,24948,233,480,1,Urban,Y
Male,Yes,2,Not Graduate,No,53575,19055,116,360,1,Semiurban,Y
Female,Yes,3,Not Graduate,Yes,67200,57020,193,240,1,Urban,Y
Male,No,0,Not Graduate,No,50226,10795,252,480,1,Rural,Y
Male,Yes,3,Graduate,No,50515,8276,87,360,1,Semiurban,Y
Female,Yes,1,Not Graduate,No,57574,6409,223,360,1,Rural,Y
Female,Yes,0,Not Graduate,No,67664,16850,216,240,0,Urban,N
Female,No,0,Not Graduate,Yes,16421,12765,215,360,1,Urban,Y
Male,Yes,3,Graduate,No,96129,44190,198,360,1,Rural,Y
Male,No,0,Graduate,No,101645,745,297,360,1,Semiurban,Y
Female,Yes,1,Graduate,No,81060,14904,57,240,1,Urban,Y
Female,Yes,1,Not Graduate,No,47057,46015,164,300,1,Semiurban,Y
Female,Yes,2,Graduate,Yes,67911,32896,234,240,0,Rural,N
Male,Yes,2,Graduate,No,18393,16653,52,360,1,Urban,Y
Male,Yes,1,Graduate,No,47214,42222,59,360,1,Semiurban,Y
Female,No,2,Graduate,No,75319,9347,128,360,1,Semiurban,Y
Male,Yes,1,Graduate,No,91474,39688,138,240,1,Semiurban,Y
Male,Yes,3,Graduate,No,106853,58893,245,240,1,Semiurban,Y
Male,Yes,1,Graduate,No,63609,32918,153,180,1,Rural,Y
Male,Yes,1,Graduate,No,31466,51020,132,240,0,Urban,Y
Female,Yes,0,Graduate,No,40074,34019,226,480,0,Urban,N
Male,Yes,2,Not Graduate,No,36835,18302,139,300,1,Urban,Y
Male,Yes,1,Graduate,No,35579,59519,101,360,1,Urban,Y
Female,Yes,1,Graduate,No,26671,24223,310,300,1,Semiurban,Y
Male,Yes,3,Graduate,No,29818,43456,218,240,0,Semiurban,N
Male,No,1,Graduate,No,101636,8968,301,300,0,Semiurban,N
Male,Yes,2,Graduate,No,88673,22821,282,180,1,Semiurban,Y
Female,No,2,Graduate,No,23149,3921,214,180,1,Semiurban,Y
Male,Yes,0,Graduate,No,60884,50131,72,240,1,Rural,Y
Female,No,2,Not Graduate,No,25577,2793,158,180,1,Urban,Y
Male,No,1,Not Graduate,No,54172,14524,292,180,1,Rural,Y
Female,Yes,2,Graduate,No,81047,23151,337,360,0,Urban,N
Male,Yes,3,Graduate,No,109072,36299,145,180,1,Semiurban,Y
Male,Yes,1,Graduate,Yes,70869,55210,328,300,1,Semiurban,Y
Male,Yes,0,Graduate,No,69366,58189,168,360,1,Rural,Y
Female,Yes,0,Graduate,No,60004,20523,207,120,0,Rural,N
Male,Yes,3,Not Graduate,No,78545,33999,116,360,0,Semiurban,N
Male,Yes,2,Graduate,No,35487,37004,168,360,1,Rural,Y
Male,No,1,Graduate,No,84526,12513,134,480,1,Semiurban,Y
Male,Yes,3,Graduate,No,54090,57950,170,240,1,Rural,Y
Female,Yes,2,Graduate,No,98835,45750,255,240,0,Urban,N
Male,No,2,Not Graduate,No,89369,5445,222,360,1,Urban,Y
Male,No,2,Graduate,Yes,75919,8075,89,480,1,Rural,Y
Female,Yes,2,Graduate,Yes,82576,38057,120,360,0,Urban,N
Female,Yes,0,Graduate,Yes,35922,54272,188,300,1,Urban,Y
Female,Yes,3,Graduate,No,115460,21054,81,360,0,Rural,N
Male,Yes,3,Graduate,No,69823,40912,111,180,0,Rural,N
Male,Yes,1,Not Graduate,No,14974,55515,169,300,0,Urban,N
Male,Yes,2,Not Graduate,No,82727,56341,184,240,1,Rural,Y
Female,No,2,Graduate,No,107570,7327,184,240,1,Rural,Y
Female,Yes,3,Graduate,Yes,60484,45253,216,300,1,Urban,Y
Male,Yes,2,Graduate,No,90829,48255,174,120,0,Urban,Y
Female,No,0,Not Graduate,No,94463,8828,76,300,1,Semiurban,Y
Female,No,0,Graduate,No,45735,91,75,120,0,Urban,N
Female,No,0,Graduate,No,62468,8657,158,240,0,Rural,N
Female,Yes,1,Graduate,No,88147,39650,122,360,1,Urban,Y
Female,Yes,0,Graduate,Yes,73671,39481,219,360,1,Semiurban,Y
Male,Yes,0,Not Graduate,No,101294,43114,240,180,1,Urban,Y
Female,Yes,0,Graduate,No,69565,56886,86,360,1,Semiurban,Y
Female,Yes,2,Not Graduate,No,98678,25380,146,360,0,Urban,N
Male,Yes,3,Not Graduate,No,44440,7971,348,300,1,Urban,Y
Female,No,0,Graduate,No,48446,6221,264,240,1,Semiurban,Y
Male,Yes,0,Not Graduate,No,36277,33324,84,360,0,Rural,N
Female,Yes,0,Graduate,No,112587,32316,130,360,1,Semiurban,Y
Male,No,0,Not Graduate,No,87399,5009,60,360,1,Urban,Y
Female,No,3,Graduate,No,116275,9503,129,360,1,Semiurban,Y
Female,Yes,1,Graduate,No,64074,43652,294,300,1,Semiurban,Y
Male,Yes,0,Graduate,No,57955,7308,338,180,1,Urban,Y
Male,No,1,Graduate,No,71995,7086,267,360,1,Urban,Y
Male,Yes,1,Not Graduate,No,45176,8269,225,360,1,Urban,Y
Female,Yes,1,Not Graduate,No,81592,52006,231,300,0,Urban,N
Male,Yes,1,Graduate,No,39860,52199,262,300,1,Rural,Y
Female,Yes,1,Not Graduate,Yes,16462,23293,280,360,1,Rural,N
Male,No,3,Graduate,No,59182,6037,194,240,1,Semiurban,Y
Female,Yes,0,Graduate,No,40373,32152,182,480,1,Semiurban,Y
Female,Yes,2,Graduate,No,63167,54620,259,240,0,Semiurban,N
Male,Yes,3,Graduate,No,56756,14143,55,360,1,Rural,Y
Female,Yes,1,Graduate,Yes,62996,37472,217,360,0,Semiurban,N
Female,No,3,Graduate,No,67886,13384,256,120,1,Semiurban,Y
Male,No,0,Graduate,No,52138,4328,326,240,0,Semiurban,N
Female,Yes,1,Graduate,No,64180,52557,102,300,1,Semiurban,Y
Female,Yes,0,Graduate,Yes,49739,36978,83,360,1,Rural,Y
Female,Yes,0,Not Graduate,No,34754,22485,140,300,1,Semiurban,Y
Female,Yes,1,Graduate,No,30602,13641,77,300,1,Semiurban,Y
Male,Yes,2,Graduate,No,14409,9268,156,480,1,Urban,Y
Female,Yes,2,Not Graduate,No,48884,6400,332,120,1,Semiurban,Y
Female,No,1,Graduate,No,87020,13878,203,300,1,Urban,Y
Male,Yes,1,Not Graduate,No,46493,28484,232,360,1,Urban,Y
Male,Yes,0,Graduate,No,110218,3903,238,360,1,Semiurban,Y
Female,Yes,0,Graduate,No,50021,54204,146,360,1,Semiurban,Y
Female,No,1,Graduate,No,106307,7853,173,300,1,Rural,Y
Male,No,0,Not Graduate,No,70792,7780,119,360,1,Semiurban,Y
Male,No,1,Graduate,No,55254,5775,151,240,1,Semiurban,Y
Female,No,2,Graduate,No,78981,4031,288,180,0,Semiurban,N
Female,Yes,0,Graduate,No,86631,54533,187,360,1,Urban,Y
Female,Yes,1,Graduate,No,82565,25136,92,180,1,Urban,Y
Male,Yes,3,Not Graduate,No,35939,54712,194,180,1,Urban,Y
Male,Yes,0,Graduate,No,13042,30159,102,360,1,Rural,Y
Female,Yes,2,Graduate,No,35597,27678,236,300,0,Urban,N
Female,Yes,1,Graduate,No,60500,13698,82,360,1,Urban,Y
Female,Yes,1,Graduate,No,24009,53255,162,300,1,Semiurban,Y
Male,No,2,Graduate,No,71114,5889,262,480,0,Rural,N
Male,Yes,0,Not Graduate,No,70366,13966,282,240,0,Semiurban,N
Male,Yes,3,Graduate,No,49935,37072,137,300,1,Rural,Y
Male,No,0,Graduate,No,14038,1,262,180,1,Urban,Y
Female,No,0,Not Graduate,No,23142,4437,177,300,1,Rural,Y
Female,Yes,2,Graduate,Yes,115045,2132,205,300,1,Urban,Y
Male,No,2,Graduate,No,118522,10275,258,180,0,Semiurban,N
Male,No,2,Graduate,No,111168,8100,298,360,1,Rural,Y
Female,No,2,Graduate,Yes,73891,5733,54,360,1,Urban,Y
Female,No,1,Not Graduate,No,102734,8195,262,360,1,Rural,Y
Female,No,3,Graduate,No,113865,8175,105,360,1,Semiurban,Y
Male,Yes,1,Graduate,No,86386,32716,219,300,1,Semiurban,Y
Female,Yes,1,Not Graduate,No,18112,17213,188,360,1,Urban,Y
Female,No,1,Not Graduate,No,110136,6625,302,360,1,Semiurban,Y
Female,No,0,Not Graduate,No,99697,8385,262,480,0,Semiurban,N
Female,No,3,Graduate,No,45395,1028,260,360,1,Urban,Y
Male,No,3,Graduate,No,82644,1287,274,360,1,Semiurban,Y
Female,Yes,1,Graduate,No,41573,39057,289,300,1,Semiurban,Y
Female,Yes,3,Not Graduate,No,15839,52201,303,300,1,Rural,Y
Female,Yes,3,Graduate,No,12782,356,279,480,1,Urban,Y
Female,No,1,Graduate,No,68084,7916,296,360,1,Semiurban,Y
Male,Yes,0,Not Graduate,No,42481,19621,350,360,1,Urban,Y
Male,Yes,0,Not Graduate,No,93547,31803,323,240,1,Rural,Y
Female,No,0,Graduate,No,34357,11255,73,300,1,Urban,Y
Female,Yes,1,Not Graduate,No,81914,56398,326,120,1,Rural,Y
Female,No,2,Graduate,No,24587,12173,57,360,1,Urban,Y
Female,No,0,Graduate,No,97056,2759,74,360,1,Urban,Y
Male,Yes,1,Graduate,No,93624,6921,212,180,1,Urban,Y
Male,Yes,1,Not Graduate,No,117538,22755,327,360,0,Semiurban,N
Female,No,0,Not Graduate,No,61245,8412,299,240,1,Urban,Y
Male,Yes,3,Graduate,No,14571,25376,187,120,1,Rural,Y
Female,No,2,Not Graduate,No,77276,14931,99,360,1,Urban,Y
Female,No,2,Not Graduate,No,69280,6381,215,360,1,Rural,Y
Male,No,2,Not Graduate,No,15580,12393,52,240,1,Semiurban,Y
Female,No,2,Graduate,No,103267,13968,304,360,1,Semiurban,Y
Male,Yes,1,Graduate,No,92032,3338,211,360,0,Urban,N
Female,Yes,1,Graduate,Yes,71696,27882,184,300,0,Urban,N
Male,Yes,1,Graduate,No,93681,35744,217,480,1,Semiurban,Y
Male,Yes,0,Graduate,No,78915,10787,306,300,1,Urban,Y
Female,Yes,0,Graduate,No,59281,4781,213,360,0,Urban,N
Female,Yes,1,Graduate,No,78865,31062,226,120,1,Urban,Y
Male,No,1,Graduate,Yes,110128,1516,198,180,1,Semiurban,Y
Male,Yes,1,Graduate,No,60979,4439,219,300,1,Rural,Y
Male,No,0,Graduate,No,114838,12686,245,360,0,Semiurban,N
Female,Yes,1,Graduate,Yes,31772,44196,239,240,1,Urban,Y
Male,Yes,0,Not Graduate,No,31491,19770,113,240,1,Rural,Y
Male,Yes,0,Not Graduate,Yes,41075,58562,270,300,1,Urban,Y
Female,Yes,1,Graduate,No,98217,20069,211,360,1,Rural,Y
Female,No,1,Graduate,Yes,83178,9562,213,480,0,Urban,N
Male,No,3,Graduate,No,84167,9485,295,360,1,Urban,Y
Male,Yes,0,Graduate,No,43545,53276,163,360,1,Rural,Y
Male,Yes,1,Not Graduate,No,92030,47597,128,300,1,Urban,Y
Female,Yes,2,Not Graduate,No,68195,33757,205,300,0,Semiurban,N
Female,Yes,0,Graduate,No,91426,27424,268,240,1,Urban,Y
Female,Yes,0,Graduate,No,31298,13188,147,360,1,Semiurban,Y
Male,Yes,3,Graduate,No,77534,3301,288,300,1,Rural,Y
Male,Yes,1,Graduate,No,98001,54360,261,360,1,Semiurban,Y
Male,Yes,2,Not Graduate,No,87232,25376,55,120,1,Rural,Y
Male,No,0,Graduate,No,33421,6053,137,360,1,Urban,Y
Male,Yes,2,Graduate,No,32549,41372,196,180,1,Rural,Y
Female,Yes,0,Graduate,No,46655,36619,52,360,0,Urban,Y
Female,Yes,1,Graduate,No,119469,52319,189,360,1,Urban,Y
Female,No,0,Graduate,No,108499,10394,119,300,1,Urban,Y
Male,Yes,1,Graduate,No,53966,41940,345,300,1,Urban,Y
Male,Yes,2,Graduate,No,70344,34343,138,480,1,Urban,Y
Male,Yes,0,Graduate,No,81140,32538,61,240,0,Urban,Y
Female,Yes,3,Graduate,No,69620,13125,89,240,1,Rural,Y
Female,Yes,1,Graduate,No,90943,18058,179,240,0,Semiurban,Y
Male,Yes,2,Graduate,No,92826,31299,259,300,1,Urban,Y
Male,No,1,Graduate,No,45169,14694,56,360,1,Semiurban,Y
Female,No,0,Graduate,No,78977,10849,212,360,1,Urban,Y
Female,Yes,0,Graduate,No,67300,26338,282,240,1,Semiurban,Y
Female,Yes,3,Graduate,No,17724,28406,62,180,0,Urban,N
Male,Yes,1,Not Graduate,No,65366,43969,325,360,0,Semiurban,N
Male,No,2,Graduate,No,32333,5867,179,300,1,Semiurban,Y
Female,No,3,Graduate,No,60880,8146,187,360,1,Rural,Y
Male,Yes,3,Graduate,No,87972,10546,260,180,1,Urban,Y
Female,Yes,2,Graduate,No,49403,56056,249,360,1,Rural,Y
Male,Yes,2,Graduate,No,12832,3077,104,300,1,Semiurban,Y
Female,Yes,3,Not Graduate,No,19166,6297,292,360,0,Rural,N
Male,Yes,3,Graduate,No,97303,45277,130,360,1,Semiurban,Y
Male,No,0,Graduate,No,78380,14629,284,360,0,Urban,N
Male,Yes,1,Graduate,No,64410,37326,104,120,1,Semiurban,Y
Female,No,0,Graduate,No,39970,10960,179,120,1,Urban,Y
Male,Yes,0,Not Graduate,No,115423,16858,175,300,1,Urban,Y
Female,Yes,3,Graduate,No,19978,55533,213,480,1,Rural,Y
Female,Yes,3,Graduate,No,103897,37553,230,240,0,Rural,N
Female,Yes,1,Not Graduate,No,53474,36947,145,180,1,Semiurban,Y
Female,Yes,2,Graduate,No,33586,49984,166,120,0,Urban,Y
Female,No,0,Graduate,No,29550,9881,303,300,1,Semiurban,Y
Female,Yes,2,Not Graduate,No,52512,22613,283,360,0,Rural,N
Female,No,0,Not Graduate,No,71561,2121,184,360,1,Semiurban,Y
Female,Yes,3,Graduate,No,98703,50695,201,180,1,Semiurban,Y
Male,Yes,1,Graduate,No,34772,40213,310,240,1,Urban,Y
Female,Yes,0,Graduate,No,57698,39612,290,480,1,Rural,Y
Male,Yes,1,Graduate,No,73547,36946,343,360,1,Rural,Y
Female,Yes,2,Graduate,No,27332,42641,125,480,1,Urban,Y
Female,Yes,2,Graduate,Yes,113210,1317,262,360,1,Rural,Y
Male,Yes,1,Graduate,No,70956,35381,187,360,1,Semiurban,Y
Male,No,2,Graduate,No,21610,10439,101,360,1,Urban,Y
Male,Yes,2,Graduate,No,112685,32491,333,360,1,Semiurban,Y
Female,Yes,0,Not Graduate,No,93489,24315,60,360,0,Urban,N
Male,Yes,1,Not Graduate,No,112005,57501,153,180,1,Urban,Y
Female,Yes,0,Graduate,Yes,79295,40731,173,300,0,Semiurban,N
Female,Yes,3,Graduate,No,68971,54775,149,300,0,Rural,N
Female,Yes,0,Not Graduate,No,83479,44146,164,480,0,Semiurban,N
Male,Yes,1,Graduate,No,25186,27486,230,180,1,Semiurban,Y
Male,Yes,0,Not Graduate,No,109122,32383,100,300,1,Urban,Y
Male,Yes,1,Graduate,No,21336,51968,159,360,0,Urban,Y
Female,No,1,Graduate,Yes,72921,6217,234,360,1,Rural,Y
Male,No,0,Graduate,No,92059,12633,338,300,0,Semiurban,N
Female,Yes,0,Graduate,Yes,54675,14896,312,360,1,Semiurban,Y
Female,Yes,1,Graduate,No,77004,54701,246,480,1,Semiurban,Y
Female,Yes,3,Graduate,No,77265,18807,247,360,1,Rural,Y
Female,Yes,0,Graduate,No,99599,17049,155,360,1,Semiurban,Y
Female,Yes,1,Graduate,No,97328,19646,178,360,1,Rural,Y
Male,Yes,1,Graduate,No,100936,37662,246,240,1,Urban,Y
Female,Yes,1,Not Graduate,No,112521,32319,278,480,1,Urban,Y
Male,Yes,1,Graduate,No,19705,21003,106,360,1,Urban,Y
Male,No,3,Graduate,No,71366,2139,59,300,1,Urban,Y
Female,Yes,3,Graduate,No,64746,47723,285,360,1,Rural,Y
Female,Yes,0,Graduate,Yes,22639,66,144,300,1,Semiurban,Y
Female,Yes,1,Graduate,No,63748,23773,284,360,1,Semiurban,Y
Female,Yes,0,Not Graduate,No,68783,34055,216,360,1,Rural,Y
Male,Yes,0,Not Graduate,No,67866,49856,145,180,1,Semiurban,Y
Female,No,2,Not Graduate,No,72667,3600,56,300,1,Rural,Y
Male,Yes,0,Graduate,No,95223,58390,263,180,1,Rural,Y
Female,Yes,3,Graduate,No,18616,28300,253,180,1,Urban,Y
Female,Yes,1,Graduate,Yes,98103,55040,343,360,1,Semiurban,Y
Female,Yes,0,Graduate,No,70086,2115,340,480,1,Urban,Y
Female,Yes,1,Graduate,Yes,91309,56545,311,240,1,Rural,Y
Female,No,1,Graduate,No,78157,2508,181,360,1,Semiurban,Y
Female,Yes,1,Graduate,No,77827,12281,169,120,1,Urban,Y
Female,Yes,0,Graduate,No,58521,1045,109,360,1,Rural,Y
Male,Yes,3,Graduate,Yes,54929,25025,278,360,1,Urban,Y
Male,Yes,3,Graduate,No,65177,20223,110,360,1,Semiurban,Y
Female,Yes,0,Graduate,No,114579,14196,104,300,1,Semiurban,Y
Female,No,0,Graduate,No,92118,1027,236,180,1,Semiurban,Y
Female,No,2,Graduate,No,89875,789,205,300,1,Semiurban,Y
Male,No,2,Graduate,No,91278,12461,164,360,0,Semiurban,Y
Male,No,2,Not Graduate,No,101873,2630,272,360,1,Urban,Y
Female,No,0,Graduate,No,21517,14623,199,300,1,Rural,Y
Female,No,1,Graduate,No,101762,2492,192,240,1,Rural,Y
Female,Yes,3,Graduate,No,57172,36331,128,240,1,Urban,Y
Female,Yes,2,Not Graduate,No,75460,11576,195,480,1,Urban,Y
Male,Yes,2,Graduate,No,70631,22776,335,360,1,Urban,Y
Female,Yes,1,Graduate,No,25178,39978,188,360,0,Rural,N
Male,Yes,1,Graduate,Yes,13313,8931,256,240,1,Semiurban,Y
Male,No,1,Not Graduate,No,74059,898,322,300,1,Semiurban,Y
Female,Yes,0,Graduate,No,60592,17296,151,360,1,Rural,Y
Male,Yes,1,Graduate,No,56416,31279,257,360,1,Semiurban,Y
Female,No,0,Graduate,No,59513,6036,177,240,0,Semiurban,N
Male,Yes,0,Graduate,Yes,53892,58800,135,360,1,Rural,Y
Male,Yes,0,Graduate,Yes,38806,37285,228,360,1,Semiurban,Y
Female,Yes,1,Graduate,No,41188,24496,59,120,1,Rural,Y
Female,No,2,Graduate,No,114488,8495,137,360,1,Semiurban,Y
Male,Yes,0,Graduate,No,110107,11776,345,240,1,Semiurban,Y
Female,No,0,Graduate,No,72690,11861,161,300,1,Urban,Y
Male,No,0,Graduate,No,104632,10885,92,480,0,Urban,N
Male,Yes,1,Not Graduate,No,70882,48972,62,480,1,Urban,Y
Male,No,3,Not Graduate,No,56232,12404,244,360,1,Semiurban,Y
Female,Yes,1,Graduate,No,89347,38525,325,300,1,Rural,Y
Female,Yes,0,Not Graduate,No,21863,52303,140,360,1,Rural,Y
Female,No,0,Graduate,No,37592,12443,299,360,1,Rural,Y
Female,Yes,1,Not Graduate,No,34155,10039,56,360,0,Urban,N
Female,No,2,Graduate,No,29237,9635,339,360,1,Urban,Y
Male,Yes,1,Not Graduate,No,107537,28345,341,360,1,Semiurban,Y
Female,Yes,0,Graduate,No,38172,33993,127,360,1,Urban,Y
Female,Yes,2,Graduate,No,76928,52100,104,360,1,Semiurban,Y
Male,Yes,1,Graduate,No,66416,59828,140,300,1,Semiurban,Y
Female,Yes,0,Graduate,No,92537,38170,50,360,0,Rural,N
Female,No,1,Graduate,No,72344,1629,194,360,1,Rural,Y
Female,Yes,2,Graduate,Yes,97216,21868,335,360,1,Rural,Y
Female,Yes,2,Graduate,Yes,38005,11389,270,360,1,Semiurban,Y
Female,No,0,Graduate,No,113682,1190,350,180,0,Urban,N
Female,Yes,3,Graduate,Yes,89499,30734,341,480,1,Rural,Y
Female,Yes,1,Graduate,No,20612,53132,319,360,1,Semiurban,Y
Male,No,2,Graduate,Yes,62652,5845,275,300,1,Urban,Y
Male,Yes,0,Graduate,No,110460,1111,207,240,1,Urban,Y
Female,Yes,1,Not Graduate,No,92089,53209,135,120,1,Rural,Y
Male,Yes,0,Graduate,No,23721,36256,340,180,1,Urban,Y
Male,Yes,3,Graduate,No,35707,49659,215,180,1,Semiurban,Y
Male,Yes,2,Graduate,No,16192,11575,65,360,1,Semiurban,Y
Male,No,0,Graduate,No,48339,6359,248,180,1,Rural,Y
Male,No,1,Not Graduate,No,94938,12173,194,300,1,Semiurban,Y
Male,Yes,2,Graduate,No,57984,14987,173,480,1,Urban,Y
Female,No,1,Graduate,Yes,52934,13813,345,240,0,Semiurban,N
Male,No,1,Graduate,No,56292,1646,155,240,1,Semiurban,Y
Female,Yes,3,Not Graduate,No,115925,9819,200,480,1,Urban,Y
Male,Yes,1,Graduate,No,42998,36927,75,240,1,Semiurban,Y
Female,Yes,0,Graduate,No,78108,1273,55,120,1,Urban,Y
Male,Yes,1,Graduate,No,68429,34046,173,360,1,Urban,Y
Male,Yes,0,Graduate,No,59284,33480,198,300,1,Semiurban,Y
Male,Yes,0,Graduate,No,30408,13999,136,120,1,Urban,Y
Male,Yes,0,Graduate,No,112353,22875,66,300,1,Rural,Y
Male,Yes,3,Graduate,No,14739,18387,255,180,1,Urban,Y
Male,Yes,3,Graduate,No,37726,48062,270,300,1,Semiurban,Y
Female,No,0,Graduate,Yes,84837,7965,91,360,0,Urban,N
Female,Yes,1,Not Graduate,Yes,50203,51458,123,360,1,Semiurban,Y
Male,Yes,1,Graduate,No,40558,4222,201,300,1,Urban,Y
Male,Yes,1,Not Graduate,No,106227,38190,229,300,1,Urban,Y
Female,Yes,1,Graduate,No,66110,41234,97,120,1,Urban,Y
Male,Yes,0,Graduate,No,68440,43582,202,300,1,Urban,Y
Male,Yes,0,Graduate,No,33942,11367,235,240,1,Rural,Y
Male,Yes,2,Graduate,No,36472,35781,64,480,1,Rural,Y
Female,Yes,2,Graduate,No,70868,40242,68,300,1,Semiurban,Y
Male,Yes,1,Graduate,No,109372,26614,102,120,0,Rural,N
Male,No,1,Graduate,No,26298,2238,81,360,0,Urban,N
Female,No,2,Not Graduate,No,72756,9093,232,300,1,Urban,Y
Female,No,0,Graduate,No,52069,4060,343,360,1,Semiurban,Y
Male,No,1,Graduate,No,13085,2363,316,300,1,Rural,Y
Female,Yes,2,Graduate,No,30475,734,176,240,0,Rural,N
Female,Yes,1,Graduate,No,85767,51881,320,120,1,Semiurban,Y
Male,No,2,Not Graduate,No,56415,3190,57,480,1,Rural,Y
Male,No,0,Not Graduate,No,25710,12085,270,360,1,Semiurban,Y
Male,Yes,3,Graduate,No,108266,1138,218,120,1,Urban,Y
Female,Yes,1,Graduate,No,111551,20089,228,480,1,Rural,Y
Male,No,0,Graduate,No,39165,9048,206,240,1,Rural,Y
Female,No,1,Graduate,No,90572,14986,286,360,1,Urban,Y
Female,Yes,2,Graduate,No,41931,32048,71,240,0,Semiurban,Y
Male,Yes,1,Graduate,No,26314,17403,82,360,1,Urban,Y
Female,Yes,2,Graduate,No,114258,33227,277,300,1,Urban,Y
Female,Yes,1,Graduate,Yes,25536,30853,53,240,1,Rural,Y
Female,No,1,Graduate,No,44687,8750,73,180,0,Semiurban,N
Female,Yes,0,Graduate,No,105814,7819,273,360,1,Urban,Y
Male,No,0,Graduate,No,15299,7294,154,240,1,Rural,Y
Male,No,0,Graduate,No,57742,13000,263,360,1,Rural,Y
Male,Yes,0,Graduate,No,89654,11542,257,300,1,Semiurban,Y
